date,revenue
2026-03-01,844.0
2026-03-02,321.0
2026-03-03,414.0
2026-03-04,486.0
2026-03-05,336.0
2026-03-06,765.0
2026-03-07,1709.0
2026-03-08,264.0
2026-03-09,659.0
2026-03-10,756.0
2026-03-11,264.0
2026-03-12,522.0
2026-03-13,303.0
2026-03-14,1442.0
2026-03-15,623.0
2026-03-16,345.0
2026-03-17,255.0
2026-03-18,364.0
2026-03-19,394.0
2026-03-20,644.0
2026-03-21,794.0
2026-03-22,363.0
2026-03-23,373.0
2026-03-24,496.0
2026-03-25,513.0
2026-03-26,449.0
2026-03-27,550.0
2026-03-28,1159.0
2026-03-29,1101.0
2026-03-30,531.0
2026-03-31,19.0
2026-02-01,0.0
2026-02-02,980.0
2026-02-03,0.0
2026-02-04,1081.0
2026-02-05,889.0
2026-02-06,887.0
2026-02-07,1344.0
2026-02-08,1319.0
2026-02-09,845.0
2026-02-10,474.0
2026-02-11,808.0
2026-02-12,655.0
2026-02-13,481.0
2026-02-14,1227.0
2026-02-15,972.0
2026-02-16,944.0
2026-02-17,982.0
2026-02-18,653.0
2026-02-19,608.0
2026-02-20,451.0
2026-02-21,995.0
2026-02-22,797.0
2026-02-23,626.0
2026-02-24,302.0
2026-02-25,644.0
2026-02-26,502.0
2026-02-27,427.0
2026-02-28,1506.0
2026-01-01,0.0
2026-01-02,0.0
2026-01-03,928.0
2026-01-04,802.0
2026-01-05,957.0
2026-01-06,885.0
2026-01-07,1079.0
2026-01-08,1424.0
2026-01-09,1025.0
2026-01-10,0.0
2026-01-11,1054.0
2026-01-12,1169.0
2026-01-13,1126.0
2026-01-14,1017.0
2026-01-15,844.0
2026-01-16,994.0
2026-01-17,997.0
2026-01-18,981.0
2026-01-19,862.0
2026-01-20,846.0
2026-01-21,831.0
2026-01-22,674.0
2026-01-23,423.0
2026-01-24,1467.0
2026-01-25,921.0
2026-01-26,1017.0
2026-01-27,672.0
2026-01-28,483.0
2026-01-29,518.0
2026-01-30,1037.0
2026-01-31,1497.0
2025-12-01,491.0
2025-12-02,554.0
2025-12-03,700.0
2025-12-04,809.0
2025-12-05,992.0
2025-12-06,2487.0
2025-12-07,922.0
2025-12-08,0.0
