"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Casquinha ","Sorvete","unit","","","1","7","","","23,706","3,394","20,284.868"
"","Cascão ","Sorvete","unit","","","1.2","9","","","21,033","2,342","18,206.197"
"","Copo 150ml","Sorvete","unit","","","6","7","","","5,283","757","737"
"","Copo 200ml","Sorvete","unit","","","8","9","","","2,793","311","241.137"
"","Copo 250ml","Sorvete","unit","","","10","11","","","1,735","158","155"
"","Milkshake 300ml","Milkshake ","unit","","","10","11","","","18,803","1,712","1,673.643"
"","Milkshake 400ml","Milkshake ","unit","","","13","14","","","10,236","732","709.353"
"","Milkshake 500ml","Milkshake ","unit","","","16","16","","","10,630","665","-10"
"","Água sem gás ","Bebida ","unit","","","4","4","","","3,772","943",0
"","Água com gás ","Bebida ","unit","","","1.2","4.5","","","1,867.5","415","1,366.999"
"","Refri 310ml","Bebida ","unit","","","6","7","","","2,791","399","352.58"
"","Churros doce de leite ","Churros","unit","","","8","10","","","7,776","779","1,540.394"
"","Churros de chocolate ","Churros","unit","","","8","10","","","6,699","672","1,319.907"
"","Crepe suíço doce","Crepe suíço ","unit","","","8","11","","","3,450","314","890.713"
"","Crepe suíço salgado ","Crepe suíço ","unit","","","8","10","","","7,830","785","1,493.111"
"","Coco gelado","Bebida ","unit","-4",0,"12","12","-48","-48",0,0,0
"","Combo 1","Combos","unit","","","14","15","","","2,760","184","132.993"
"","Combo 2","Combos","unit","","","15","16","","","543","34","25.89"
"","Combo 3","Combos","unit","","","14","15","","","660","44","44"
"","Combo 4","Combos","unit","","","18","18","","",0,0,0
"","Combo 5","Combos","unit","","","12","12","","",0,0,0
"","Chocolate quente 180ml","Bebida ","unit","","","5","10","","","481","49","151.564"
"","Café preto 180ml","Bebida ","unit","","","5","5","","","35","7",0
"","Cafe com Leite 180ml","Bebida ","unit","","","7","7","","","147","21",0
"","Misto quente","","unit","","","8","8","","","32","4",0
"","Misto + café leite","Combos","unit","","","13","14","","","29","2","3"
"","Misto + chocolate quente ","Combos","unit","","","16","16","","","50","3",0
"","Churros  + chocolate quente ","Combos","unit","","","17","18","","","54","3","3"
"","Misto + refri ","Combos","unit","","","13","13","","","13","1",0
"","Crepe doce + chocolate quente ","Combos","unit","","","19","18","","","18","1","-1"
