"Number","Status","Date/Time","Qty.","Total amount","Items Description","Subtotal","Discount","Sales tax","Delivery","Total","Profits","Payment Method","Customer","Salesperson","Observation"
"9598-2","Sale","01/03/2026 11:46 AM",1,2,"2xÁgua com gás ","9",0,0,0,"9","6.6","Efectivo","","Lucas",""
"9599-2","Sale","01/03/2026 12:54 PM",3,3,"1xCasquinha , 1xMilkshake 300ml, 1xChurros de chocolate ","25",0,0,0,"25","6","Tarjeta Débito","","Lucas",""
"8937-1","Sale","01/03/2026 1:05 PM",1,1,"1xRefri 310ml","6.5",0,0,0,"6.5","0.5","Cash","","Lucas",""
"9437-1","Sale","01/03/2026 1:11 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Pix","","Lucas",""
"9600-2","Sale","01/03/2026 1:29 PM",1,1,"1xRefri 310ml","6.5",0,0,0,"6.5","0.5","Tarjeta Crédito","","Lucas",""
"9601-2","Sale","01/03/2026 1:48 PM",1,1,"1xMilkshake 400ml","13",0,0,0,"13",0,"Efectivo","","Lucas",""
"9602-2","Sale","01/03/2026 1:52 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Efectivo","","Lucas",""
"9603-2","Sale","01/03/2026 2:02 PM",1,1,"1xÁgua com gás ","4.5",0,0,0,"4.5","3.3","Otros","","Lucas",""
"9604-2","Sale","01/03/2026 2:04 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Tarjeta Débito","","Lucas",""
"9605-2","Sale","01/03/2026 2:06 PM",1,2,"2xMilkshake 300ml","20",0,0,0,"20",0,"Pix","","Lucas",""
"9606-2","Sale","01/03/2026 2:10 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Tarjeta Débito","","Lucas",""
"9607-2","Sale","01/03/2026 2:14 PM",1,1,"1xCopo 150ml","6",0,0,0,"6",0,"Tarjeta Débito","","Lucas",""
"9608-2","Sale","01/03/2026 2:14 PM",1,1,"1xCopo 150ml","6",0,0,0,"6",0,"Efectivo","","Lucas",""
"9609-2","Sale","01/03/2026 2:25 PM",2,2,"1xCasquinha , 1xCascão ","14",0,0,0,"14","11.8","Tarjeta Débito","","Lucas",""
"9610-2","Sale","01/03/2026 2:28 PM",2,2,"1xMilkshake 300ml, 1xCasquinha ","16",0,0,0,"16","5","Tarjeta Débito","","Lucas",""
"9611-2","Sale","01/03/2026 2:33 PM",2,4,"1xMilkshake 400ml, 3xMilkshake 300ml","43",0,0,0,"43",0,"Tarjeta Débito","","Lucas",""
"9612-2","Sale","01/03/2026 2:35 PM",1,2,"2xMilkshake 500ml","30",0,0,0,"30","-2","Tarjeta Débito","","Lucas",""
"9613-2","Sale","01/03/2026 2:39 PM",1,1,"1xMilkshake 300ml","10",0,0,0,"10",0,"Efectivo","","Lucas",""
"9614-2","Sale","01/03/2026 2:40 PM",1,1,"1xMilkshake 500ml","15",0,0,0,"15","-1","Tarjeta Débito","","Lucas",""
"9615-2","Sale","01/03/2026 2:51 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Pix","","Lucas",""
"9616-2","Sale","01/03/2026 2:54 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Efectivo","","Lucas",""
"9617-2","Sale","01/03/2026 2:55 PM",1,1,"1xCopo 150ml","6",0,0,0,"6",0,"Efectivo","","Lucas",""
"9618-2","Sale","01/03/2026 3:05 PM",3,4,"2xMilkshake 300ml, 1xÁgua sem gás , 1xÁgua com gás ","28.5",0,0,0,"28.5","3.3","Efectivo","","Lucas",""
"9619-2","Sale","01/03/2026 3:07 PM",2,4,"1xCascão , 3xCasquinha ","26",0,0,0,"26","21.8","Tarjeta Débito","","Lucas",""
"9620-2","Sale","01/03/2026 3:14 PM",1,1,"1xMilkshake 500ml","15",0,0,0,"15","-1","Efectivo","","Lucas",""
"9621-2","Sale","01/03/2026 3:16 PM",2,2,"1xCasquinha , 1xCascão ","14",0,0,0,"14","11.8","Tarjeta Crédito","","Lucas",""
"9622-2","Sale","01/03/2026 3:17 PM",1,1,"1xChurros de chocolate ","9",0,0,0,"9","1","Tarjeta Crédito","","Lucas",""
"9623-2","Sale","01/03/2026 3:21 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Efectivo","","Lucas",""
"9624-2","Sale","01/03/2026 3:24 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Tarjeta Débito","","Lucas",""
"9625-2","Sale","01/03/2026 3:28 PM",2,2,"1xCopo 150ml, 1xCasquinha ","12",0,0,0,"12","5","Pix","","Lucas",""
"9626-2","Sale","01/03/2026 3:34 PM",2,3,"2xChurros doce de leite , 1xCopo 150ml","24",0,0,0,"24","2","Tarjeta Débito","","Lucas",""
"9627-2","Sale","01/03/2026 3:35 PM",1,2,"2xChurros doce de leite ","18",0,0,0,"18","2","Efectivo","","Lucas",""
"9628-2","Sale","01/03/2026 3:39 PM",1,1,"1xRefri 310ml","6.5",0,0,0,"6.5","0.5","Otros","","Lucas",""
"9629-2","Sale","01/03/2026 3:40 PM",1,1,"1xCrepe suíço salgado ","9",0,0,0,"9","1","Otros","","Lucas",""
"9630-2","Sale","01/03/2026 3:43 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Otros","","Lucas",""
"9631-2","Sale","01/03/2026 3:50 PM",2,2,"1xMilkshake 400ml, 1xCopo 150ml","19",0,0,0,"19",0,"Pix","","Lucas",""
"9632-2","Sale","01/03/2026 3:54 PM",2,2,"1xCascão , 1xCrepe suíço salgado ","17",0,0,0,"17","7.8","Tarjeta Débito","","Lucas",""
"9633-2","Sale","01/03/2026 3:55 PM",1,2,"2xCasquinha ","12",0,0,0,"12","10","Tarjeta Crédito","","Lucas",""
"9634-2","Sale","01/03/2026 4:03 PM",1,1,"1xCopo 150ml","6",0,0,0,"6",0,"Efectivo","","Lucas",""
"9635-2","Sale","01/03/2026 4:05 PM",1,1,"1xMilkshake 300ml","10",0,0,0,"10",0,"Otros","","Lucas",""
"9636-2","Sale","01/03/2026 4:08 PM",2,3,"2xChurros de chocolate , 1xCascão ","26",0,0,0,"26","8.8","Otros","","Lucas",""
"9637-2","Sale","01/03/2026 4:13 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Pix","","Lucas",""
"9638-2","Sale","01/03/2026 4:38 PM",1,3,"3xChurros de chocolate ","27",0,0,0,"27","3","Tarjeta Débito","","Lucas",""
"9639-2","Sale","01/03/2026 4:40 PM",2,2,"1xChurros de chocolate , 1xChurros doce de leite ","18",0,0,0,"18","2","Otros","","Lucas",""
"9640-2","Sale","01/03/2026 4:45 PM",1,5,"5xCascão ","40",0,0,0,"40","34","Tarjeta Débito","","Lucas",""
"9641-2","Sale","01/03/2026 4:46 PM",1,1,"1xMilkshake 300ml","10",0,0,0,"10",0,"Tarjeta Débito","","Lucas",""
"9642-2","Sale","01/03/2026 4:47 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Pix","","Lucas",""
"9643-2","Sale","01/03/2026 4:48 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Pix","","Lucas",""
"9644-2","Sale","01/03/2026 5:11 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Efectivo","","Lucas",""
"9645-2","Sale","01/03/2026 5:13 PM",1,1,"1xCascão ","8",0,0,0,"8","6.8","Efectivo","","Lucas",""
"9646-2","Sale","01/03/2026 5:13 PM",1,1,"1xÁgua sem gás ","4",0,0,0,"4",0,"Efectivo","","Lucas",""
"9647-2","Sale","01/03/2026 5:23 PM",1,1,"1xCopo 150ml","6",0,0,0,"6",0,"Pix","","Lucas",""
"9648-2","Sale","01/03/2026 5:29 PM",2,3,"2xCopo 200ml, 1xCascão ","24",0,0,0,"24","6.8","Tarjeta Débito","","Lucas",""
"9649-2","Sale","01/03/2026 5:43 PM",2,2,"1xCascão , 1xCasquinha ","14",0,0,0,"14","11.8","Tarjeta Débito","","Lucas",""
"9650-2","Sale","01/03/2026 5:57 PM",2,2,"1xCasquinha , 1xMilkshake 300ml","16",0,0,0,"16","5","Pix","","Lucas",""
"9651-2","Sale","01/03/2026 6:08 PM",2,4,"2xCopo 200ml, 2xCasquinha ","28",0,0,0,"28","10","Tarjeta Crédito","","Lucas",""
"9652-2","Sale","01/03/2026 6:08 PM",1,1,"1xCasquinha ","6",0,0,0,"6","5","Tarjeta Débito","","Lucas",""
"9653-2","Sale","01/03/2026 6:09 PM",1,1,"1xRefri 310ml","6.5",0,0,0,"6.5","0.5","Tarjeta Débito","","Lucas",""
